,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,2026-01-01,2027-01-01,2028-01-01,2029-01-01,2030-01-01,2031-01-01,2032-01-01,2033-01-01,2034-01-01,2035-01-01,2036-01-01,2037-01-01,2038-01-01,2039-01-01,2040-01-01,2041-01-01,2042-01-01
Afghanistan,6.445214,5.263547,2.07103,1.896741,1.171253,1.104322,0.530407,0.516606,0.506643,0.495765,2.551376231,2.551376231,2.551376231,2.551376231,1.617685,2.72859,3.783141,1.475985,2.525045,10.565313,5.482172,3.652372,2.567281,2.479114,1.498316,0.581166,1.130485,3.857163,1.076081,1.314345,1.507614217,1.563637375,1.573159228,1.57535366,1.575859924,1.5759807,1.576009715,1.576016689,1.576018365,1.576018768,1.576018865,1.576018888,1.576018902,1.576018901,1.57601887,1.576018863,1.576018861,1.576018861,1.576018861,1.576018861,1.576018861,1.576018861,1.576018861
Africa,137.986898,138.519853,138.733387,140.965417,139.35326,138.051197,137.333885,138.44341,136.399448,135.324612,133.837372,138.82494,141.947865,142.940938,144.51088,147.202283,147.144929,152.644515,156.071618,154.504374,133.935779,136.064023,145.81351,146.254137,145.639628,141.910091,137.827218,146.79049,148.089111,147.164032,146.8986751,146.8609673,146.0201048,145.4759895,145.6544717,145.3194517,145.408714,145.4096483,145.409968,145.4142655,145.4142228,145.4142082,145.4142032,145.4142015,145.4142009,145.4142007,145.4142006,145.4142006,145.4142006,145.4142006,145.4142006,145.4142006,145.3403827
Albania,133.898541,152.42058,129.394516,93.89095,88.987254,115.646936,145.222232,141.947076,109.300196,96.070707,99.065401,105.441384,227.114022,163.565502,154.594705,145.781562,159.972787,115.35953,136.544555,147.99647,135.683879,133.169383,109.811261,134.307325,145.012245,155.681118,159.366578,176.827356,180.384248,183.969453,162.7783785,151.88993,146.3124679,143.4607654,142.0060259,141.2660856,140.8901672,140.6996752,140.6267847,140.5672136,140.5373294,140.5224113,140.5151281,140.5115433,140.5099401,140.5092133,140.5339882,140.5285529,140.5197632,140.5163778,140.5408158,140.5277919,140.5209417
Algeria,256.610602,286.358565,288.58608,298.89071,290.638149,282.358289,284.968287,269.307256,286.823809,297.811419,301.524639,303.959936,311.723918,332.257241,353.295803,378.283769,363.544405,399.508566,392.16134,382.635534,369.120121,399.602473,450.461298,486.102104,494.814366,530.607879,526.492298,542.653978,625.645041,630.152702,648.3106483,666.1857549,683.8109742,701.1964416,718.436916,735.5432109,752.5497889,769.4615358,786.2913356,803.0425442,819.7451113,836.3953768,852.4479807,868.9498879,885.4039812,901.8214351,918.1946055,934.5379843,950.8482414,967.130556,983.3658517,999.5660436,1015.72266
Angola,143.479466,144.502759,135.889307,126.194611,132.555738,131.944999,145.826027,141.881436,143.883958,155.67027,139.062747,142.808631,139.844835,139.061525,137.540311,116.807975,160.794809,173.639685,197.2747,214.530542,216.216251,225.014508,238.570079,272.14247,258.334875,229.8778,204.559371,170.709297,157.417506,163.077816,163.3027753,163.417816,163.4736819,163.5014061,163.5151292,163.5227067,163.5268716,163.5287871,163.5297385,163.5303154,163.5305786,163.5307075,163.5307712,163.5308034,163.5308197,163.5308277,163.5308316,163.5308336,163.5308348,163.5308353,163.5308356,163.5308357,163.5308358
Antigua and Barbuda,159.915566,157.820806,155.137375,152.028829,148.807302,145.619765,142.498866,139.456406,136.576578,133.915424,131.566823,129.513547,127.717182,126.085922,124.460153,122.756623,120.897055,119.006537,117.104247,461.132318,113.597639,112.044819,221.221805,109.277673,108.035699,106.870718,105.797715,104.794338,103.86157,102.970704,143.2106075,141.2297659,141.3843854,141.3042108,141.3205508,141.3470784,141.3217032,141.3719465,141.3689579,141.3686325,141.3321416,141.3694169,141.3395589,141.3315773,141.3508535,141.3657075,141.3363246,141.365601,141.3286416,141.3607183,141.3447451,141.3454342,141.3628861
Argentina,539.568663,522.990346,497.773319,546.951592,529.028714,520.268559,510.123372,506.766677,509.657323,539.93696,563.318431,534.933746,504.753709,537.441492,568.949878,586.739123,580.811203,672.558069,631.983519,614.829242,694.44865,689.730346,717.515647,737.510026,705.013037,705.042541,707.908273,653.205872,637.494802,605.395079,605.5614121,605.7490236,605.6264707,605.2866778,605.9069874,605.3542505,604.555934,604.0110273,604.5003737,604.884401,605.0153481,604.5925543,604.7719603,604.4235925,603.8651918,603.521935,603.818578,603.5418338,603.7748244,603.552436,603.7447227,603.5814,603.7329898
Armenia,1831.45833,1269.524693,554.777741,175.432801,240.58491,363.653421,78.908838,102.135882,109.37079,90.643637,100.990459,111.450344,128.544196,159.048989,216.615036,244.86275,253.523886,364.862084,412.709385,387.799025,340.595424,392.833591,436.857015,427.941412,374.261379,403.341711,439.35129,468.624413,409.927577,497.003108,597.3427535,644.5867069,666.8801543,677.4090062,682.3907122,684.7499067,685.8688327,686.4000691,686.6526153,686.7727806,686.8300207,686.8573122,686.8703376,686.8765589,686.8795329,686.8809557,686.8816369,686.8819633,686.8821198,686.8821948,686.8822309,686.8822482,686.8822565
Asia,294.267356,289.412886,280.042231,282.106698,274.350256,293.336809,277.103066,291.124105,267.100096,274.1853,264.897108,260.677218,265.366435,268.862247,281.046212,284.254909,286.91721,288.99911,285.699666,280.071557,285.328567,292.226404,286.947221,289.418906,287.518859,292.68232,296.006829,300.553769,285.269499,277.504802,275.5892058,277.41883,275.5785025,277.3224542,275.6206838,277.2814517,275.6607031,277.2424916,275.6986837,277.2054615,275.7347909,277.1684524,275.7677872,277.1344947,275.8001965,277.1027248,275.8371312,277.0767926,275.8728269,277.0493813,275.8985217,277.0246,275.9271761
Australia,548.329651,545.690417,559.125364,580.007851,556.225836,581.334531,594.30629,592.259645,598.266721,586.538732,594.478548,602.771282,613.874316,612.000644,596.589863,590.726554,590.461969,592.83793,585.028529,601.355731,596.262038,605.643749,606.882155,609.763622,621.70434,623.42006,631.009459,624.374092,620.126367,599.92379,603.195793,602.4219513,602.6870201,602.6061206,602.6307088,602.6232987,602.6255593,602.6250476,602.6252256,602.6251716,602.625188,602.625183,602.6251846,602.6251841,602.6251842,602.6251842,602.6251842,602.6251842,602.6251842,602.6251842,602.6251842,602.6251842,602.6251842
Austria,1641.646266,1820.474744,1712.438583,1667.492628,1527.579188,1664.557219,1839.64479,1637.023211,1637.845039,1699.143291,1552.803516,1698.001504,1603.067875,1684.227467,1614.982128,1573.848009,1535.241008,1295.44723,1334.288359,1227.806091,1254.46713,1095.404148,1045.608044,1068.232298,934.394479,981.717587,1000.308037,1010.215282,916.617751,939.128816,932.0750609,934.3032473,933.5983843,933.8216322,933.7509254,933.7733731,933.7662424,933.7685093,933.7677879,933.7680176,933.7679445,933.7679678,933.7679603,933.7679627,933.767962,933.7679622,933.7679621,933.7679621,933.7679621,933.7679621,933.7679621,933.7679621,933.7679621
Azerbaijan,684.822023,633.329034,484.480292,313.911527,615.588546,497.722447,521.923482,517.306566,559.45611,592.243016,530.608952,570.92005,631.866515,688.877225,669.906676,680.438638,674.379706,632.720113,758.342683,673.435926,680.877268,681.15145,568.826735,544.458807,594.385445,626.640558,693.300307,626.693964,637.215555,796.200633,719.3136921,690.7595581,679.9973761,655.8764192,662.7276649,665.2601965,666.1644419,666.4561647,666.5123272,666.4928994,666.4512536,666.4061462,666.3627212,666.3266397,666.2929434,666.2655921,666.2421655,666.2207615,666.2046066,666.1899466,666.1770925,666.1662796,666.1567003
Bahamas,897.645056,1187.712193,1278.060913,959.179461,906.292915,999.361098,880.343676,835.180581,825.877488,782.145321,671.039581,693.944156,715.082049,638.726652,533.094168,523.321688,543.754101,474.232852,523.743033,1372.997761,450.785488,695.249796,1622.747064,1879.279494,998.313665,801.710308,635.049999,733.466208,985.387743,1001.319647,931.2724088,899.2383446,884.6363773,877.9824435,874.9641588,873.5994606,872.9707001,872.6859628,872.5568525,872.4979706,872.4720904,872.4625426,872.4538003,872.4504371,872.4475158,872.449207,872.450532,872.4496876,872.4455047,872.4432828,872.441927,872.4426466,872.4411239
Bahrain,262.135327,274.637967,286.762476,279.740095,291.126102,283.839941,311.062962,420.21963,521.429956,267.068833,270.835519,272.381902,272.057027,269.67746,265.10942,269.918591,198.242322,193.064541,206.343725,194.080546,185.354725,179.947153,184.623629,197.714254,194.600135,204.1035,182.354644,147.248104,165.664181,152.330905,160.8647641,164.7457495,166.5206573,167.3364519,167.7179466,167.8983941,167.9861511,168.0293594,168.0521836,168.0643035,168.073949,168.0782331,168.0810797,168.0828637,168.0838492,168.0849503,168.085867,168.086297,168.0867329,168.087017,168.0872153,168.0873581,168.0874381
Bangladesh,45.361165,41.761708,41.209918,41.685306,43.020219,45.063846,44.623911,48.35197,49.72171,48.246797,48.958991,51.272705,53.895708,57.718731,59.713952,57.107717,57.620876,58.670815,59.457745,59.55122,63.492946,65.249518,64.368419,62.90856,65.882549,69.949187,76.086953,78.654639,78.697845,77.585384,76.96261216,76.80399847,76.76356037,76.7532378,76.75060271,76.74992994,76.74975818,76.74971433,76.74970314,76.74970028,76.74969955,76.74969936,76.74969931,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993,76.7496993
Barbados,229.94408,229.085445,304.309785,265.283138,264.25764,225.602075,262.126148,298.303783,334.157586,369.747281,294.647366,293.584436,329.160303,291.618526,290.610015,325.709313,324.353546,322.92673,428.654104,996.061981,389.889807,353.37311,458.233714,316.573679,315.983504,280.38004,279.917985,314.433545,313.982695,313.56591,335.980859,341.7255492,343.1315113,343.3101914,343.186397,342.8615185,342.4537571,341.9793711,341.349733,340.6477402,339.8358074,338.7956166,337.657041,336.2802473,335.4082053,335.1892075,335.0626584,335.0773685,335.076811,335.0711386,335.0679079,335.0324697,335.0223823
Belarus,1410.679698,1322.732449,1192.593694,1084.34689,880.466282,841.469705,872.088313,727.316856,634.905577,632.781267,647.309184,577.899218,565.364063,555.829048,539.690197,561.593115,572.666407,554.822266,542.693198,541.706145,593.382001,576.71988,608.471155,590.014219,544.968247,508.505583,543.107808,548.134625,552.228153,506.749153,495.0952829,483.8552525,473.0019933,462.5052028,452.3487399,442.5131817,432.977078,423.7215361,414.750627,406.0329747,397.5575456,389.319082,381.3058313,373.507065,365.9084309,358.508676,351.2926533,344.2530231,337.3933993,330.6978123,324.1534813,317.7643765,311.5207169
